Id_bien;No_voie;Type_voie;Voie;Total_piece;Surface_carrez;Surface_total;Type_local;Id_commune
75118BR9073;7;RUE;LIVINGSTONE;2;41.53;34;Appartement;3210
75118DD2616;70;RUE;MARX DORMOY;2;31.34;30;Appartement;3210
75118CM854;41;RUE;DE LA CHAPELLE;2;38;38;Appartement;3210
75118BO16737;41;RUE;DES TROIS FRERES;2;21.69;21;Appartement;3210
75118BU1049;3;RUE;LABAT;2;23.16;23;Appartement;3210
75118AH378;196;RUE;CHAMPIONNET;2;35.08;40;Appartement;3210
75118AK8414;46;RUE;JOSEPH DE MAISTRE;2;31.56;27;Appartement;3210
75118AY66930;93;RUE;BELLIARD;2;37.51;33;Appartement;3210
75118DF5724;53;RUE;PHILIPPE DE GIRARD;2;47.7;47;Appartement;3210
75118BS378;47;RUE;DE CLIGNANCOURT;2;37.21;38;Appartement;3210
75118BF8916;48;RUE;DU SIMPLON;2;37.46;38;Appartement;3210
75118AE32120;100;RUE;LEIBNIZ;2;47.1;47;Appartement;3210
75118DA1412;56;RUE;DE TORCY;2;61.17;63;Appartement;3210
75118AX13313;111;RUE;CHAMPIONNET;2;33.39;34;Appartement;3210
75118CE2210;32;RUE;MARCADET;2;39.04;40;Appartement;3210
75118CZ1326;21;RUE;BOUCRY;2;53.06;43;Appartement;3210
75118BV6319;34;RUE;ORDENER;2;49.56;49;Appartement;3210
75118BT4232;48;RUE;DE CLIGNANCOURT;2;32.05;33;Appartement;3210
75118CF2610;19;RUE;MARCADET;2;29.09;29;Appartement;3210
75118BG10435;13;RUE;JOSEPH DIJON;2;28.24;32;Appartement;3210
75118CL2146;6;RUE;ORDENER;2;58.15;60;Appartement;3210
75118CF1681128;62;RUE;DOUDEAUVILLE;2;47.56;46;Appartement;3210
75118AT34121;16;RUE;DAMREMONT;2;44.8;44;Appartement;3210
75118AQ8813;5;RUE;JOSEPH DE MAISTRE;2;22.03;22;Appartement;3210
75118AH3411;200;RUE;CHAMPIONNET;2;32.61;26;Appartement;3210
75118CF6010;2;RUE;ERNESTINE;2;29.16;20;Appartement;3210
75118AX902;12;RUE;DU POLE NORD;2;21.05;21;Appartement;3210
75118BT275;5;RUE;POULET;2;39.41;39;Appartement;3210
75118CK1610;3;RUE;JEAN ROBERT;2;25.42;23;Appartement;3210
75118BU11015;9;RUE;LABAT;2;46.56;45;Appartement;3210
75118AT1954;36;RUE;DAMREMONT;2;37.65;35;Appartement;3210
75118BK2638;2;RUE;JULES JOUY;2;31.6;31;Appartement;3210
75118BK10525;6;RUE;HERMEL;2;38.55;38;Appartement;3210
75118BI6224;10;RUE;DE TRETAIGNE;2;24.71;25;Appartement;3210
75118AT5924;46;RUE;CAULAINCOURT;2;53.02;50;Appartement;3210
75118AX18115;128;RUE;ORDENER;2;32.81;40;Appartement;3210
75118DA10147;4;RUE;DE LA CHAPELLE;2;28.63;28;Appartement;3210
75118DD46124;43;RUE;PAJOL;2;40.7;42;Appartement;3210
75118CG1619;3;RUE;DE SUEZ;2;45.57;43;Appartement;3210
75118BK2660;2;RUE;JULES JOUY;2;35.15;30;Appartement;3210
75118BS705021;5;RUE;CHRISTIANI;2;47.75;47;Appartement;3210
75118BV325;16;RUE;BOINOD;2;33.86;39;Appartement;3210
75118AW14016;20;RUE;ACHILLE MARTINET;2;36.62;38;Appartement;3210
75118CL346;29;RUE;DE LA CHAPELLE;2;62.37;62;Appartement;3210
75118AI7912;222;RUE;MARCADET;2;53.67;55;Appartement;3210
75118AY101153;152;RUE;DAMREMONT;2;46.39;47;Appartement;3210
75118BG479;15;RUE;BAUDELIQUE;2;26.06;23;Appartement;3210
75118AW729;16;RUE;ACHILLE MARTINET;2;38.42;36;Appartement;3210
75118BL5214;19;RUE;RAMEY;2;37.3;43;Appartement;3210
75118AH2514;226;RUE;CHAMPIONNET;2;26.91;15;Appartement;3210
75118BV171;112;RUE;DE CLIGNANCOURT;2;44.6;44;Appartement;3210
75118AV106135;70;RUE;LAMARCK;2;25.59;26;Appartement;3210
75118BU15101;79;RUE;MARCADET;2;41.94;42;Appartement;3210
75118BO9127;27;RUE;ANDRE BARSACQ;2;19.02;20;Appartement;3210
75118BT3130;13;RUE;POULET;2;28.9;30;Appartement;3210
75118AV7918;18;RUE;DUHESME;2;41.41;45;Appartement;3210
75118AV2732;98;RUE;LAMARCK;2;44.04;44;Appartement;3210
75118AE95;77;RUE;VAUVENARGUES;2;51.97;50;Appartement;3210
75118BK2821;2;RUE;CYRANO DE BERGERAC;2;59.58;57;Appartement;3210
75118BQ2635;5;RUE;TARDIEU;2;33;29;Appartement;3210
75118BS82119;7;RUE;ANDRE DEL SARTE;2;39.92;40;Appartement;3210
75118BU9452;49;RUE;MARCADET;2;14.42;25;Appartement;3210
75118BK10726;54;RUE;CUSTINE;2;36.33;35;Appartement;3210
75118BV4919;89;RUE;DES POISSONNIERS;2;36.8;37;Appartement;3210
75118BX2328;14;RUE;CHAMPIONNET;2;23.42;20;Appartement;3210
75118AV11819;93;RUE;CAULAINCOURT;2;56.84;58;Appartement;3210
75118AR16840;6;RUE;COUSTOU;2;29.32;30;Appartement;3210
75118AW1037;6;RUE;MONTCALM;2;39.3;39;Appartement;3210
75118AY72124;112;RUE;CHAMPIONNET;2;35.87;36;Appartement;3210
75118CZ2612;14;RUE;DES ROSES;2;27.16;27;Appartement;3210
75118CZ2016;6;RUE;JEAN COTTIN;2;23.56;23;Appartement;3210
75118AY661033;89;RUE;BELLIARD;2;26;30;Appartement;3210
75118DA5012;7;RUE;BUZELIN;2;26.61;28;Appartement;3210
75118BG3323;8;RUE;BAUDELIQUE;2;35.62;33;Appartement;3210
75118BV116;114;RUE;DE CLIGNANCOURT;2;34.64;36;Appartement;3210
75118BK13319;45;RUE;CUSTINE;2;32.52;41;Appartement;3210
75118AK4350;46;RUE;DAMREMONT;2;53.62;55;Appartement;3210
75118BS1516;9;RUE;MULLER;2;29.04;29;Appartement;3210
75118CK4032;12;RUE;JEAN ROBERT;2;38.74;38;Appartement;3210
75118BO18623;42;RUE;DES TROIS FRERES;2;19.53;20;Appartement;3210
75118AT15618;20;RUE;JOSEPH DE MAISTRE;2;26.46;30;Appartement;3210
75118BD1072;63;RUE;LETORT;2;45.81;45;Appartement;3210
75118BH5937;1;RUE;VERSIGNY;2;19.82;28;Appartement;3210
75118BV1739;112;RUE;DE CLIGNANCOURT;2;48.79;49;Appartement;3210
75118AO7220;11;RUE;CAPRON;2;22.88;22;Appartement;3210
75118AL3734;3;RUE;CARPEAUX;2;27.89;25;Appartement;3210
75118BJ3032;13;RUE;EUGENE SUE;2;34.55;30;Appartement;3210
75118CL36;29;RUE;DE LA CHAPELLE;2;45.6;45;Appartement;3210
75118BR22136;6;RUE;DE CLIGNANCOURT;2;45.52;46;Appartement;3210
75118BE8112;24;RUE;LETORT;2;64.08;63;Appartement;3210
75118AI18412;27;RUE;VAUVENARGUES;2;43.35;44;Appartement;3210
75118BF13814;12;RUE;JOSEPH DIJON;2;28.45;29;Appartement;3210
75118BG4921;19;RUE;BAUDELIQUE;2;21.22;27;Appartement;3210
75118AI2320;195;RUE;CHAMPIONNET;2;27.4;31;Appartement;3210
75118CG1921;9;RUE;DE SUEZ;2;31.8;32;Appartement;3210
75118BJ2825;9;RUE;EUGENE SUE;2;35.24;35;Appartement;3210
75118AQ74146;17;RUE;JOSEPH DE MAISTRE;2;53.25;53;Appartement;3210
75118BJ806;27;RUE;SIMART;2;33.97;35;Appartement;3210
75118CJ1338;30;RUE;STEPHENSON;2;31.37;28;Appartement;3210
75118BS92;17;RUE;MULLER;2;22.76;20;Appartement;3210
75118AX14114;62;RUE;DU POTEAU;2;46.82;46;Appartement;3210
75118BR5342;15;RUE;D ORSEL;2;35.63;33;Appartement;3210
75118BN67;19;RUE;DU MONT CENIS;2;58.89;62;Appartement;3210
75118BL1068;24;RUE;PAUL ALBERT;2;27.04;27;Appartement;3210
75118BJ429;99;RUE;ORDENER;2;29.6;31;Appartement;3210
75118AR335;11;RUE;HOUDON;2;33.88;30;Appartement;3210
75118AM2722;4;RUE;ETIENNE JODELLE;2;30.95;30;Appartement;3210
75118AL334;1;RUE;CARPEAUX;2;38.04;38;Appartement;3210
75118BG1047;13;RUE;JOSEPH DIJON;2;33.81;35;Appartement;3210
75118BV111;114;RUE;DE CLIGNANCOURT;2;30.69;32;Appartement;3210
75118BR9082;7;RUE;LIVINGSTONE;2;40.67;39;Appartement;3210
75118BJ7360;68;RUE;MARCADET;2;24.3;25;Appartement;3210
75118BE16213;94;RUE;CHAMPIONNET;2;28.81;27;Appartement;3210
75118DD6100;71;RUE;PHILIPPE DE GIRARD;2;28.86;32;Appartement;3210
75118AI2219;197;RUE;CHAMPIONNET;2;35.9;32;Appartement;3210
75118BV498;89;RUE;DES POISSONNIERS;2;29.13;30;Appartement;3210
75118AX211;124;RUE;DAMREMONT;2;52.24;50;Appartement;3210
75118AO8038;3;RUE;CAVALLOTTI;2;30.65;30;Appartement;3210
75118BJ2723;10;RUE;FERDINAND FLOCON;2;36.24;34;Appartement;3210
75118BO4644;7;RUE;GABRIELLE;2;90.36;68;Appartement;3210
75118BH12547;40;RUE;DU RUISSEAU;2;28.6;29;Appartement;3210
75118CI1147;1;RUE;AFFRE;2;30.67;33;Appartement;3210
75118AK275;116;RUE;LAMARCK;2;51.77;51;Appartement;3210
75118AK319;93;RUE;LAMARCK;2;59.72;52;Appartement;3210
75118BO5634;18;RUE;CHAPPE;2;32.94;29;Appartement;3210
75118CF144124;55;RUE;DOUDEAUVILLE;2;34.89;30;Appartement;3210
75118AV629;45;RUE;DES SAULES;2;35.3;36;Appartement;3210
75118AX626;5;RUE;DU POLE NORD;2;38.68;35;Appartement;3210
75118BT12620;2;RUE;POULET;2;44.14;45;Appartement;3210
75118CZ65111;11;RUE;DE L EVANGILE;2;27.49;30;Appartement;3210
75118BO15440;6;RUE;RAVIGNAN;2;26.16;26;Appartement;3210
75118AX9121;10;RUE;DU POLE NORD;2;43.3;40;Appartement;3210
75118CL2139;6;RUE;ORDENER;2;40.25;40;Appartement;3210
75118AM1853;39;RUE;GANNERON;2;39.2;40;Appartement;3210
75118AT15610;3;RUE;DAMREMONT;2;31.01;30;Appartement;3210
75118AY66458;8;RUE;GUSTAVE ROUANET;2;39.65;41;Appartement;3210
75118AY66369;6;RUE;GUSTAVE ROUANET;2;31.72;33;Appartement;3210
75118CZ266;14;RUE;DES ROSES;2;28.89;32;Appartement;3210
75118CF4018;11;RUE;ERNESTINE;2;32.23;32;Appartement;3210
75118BV120;114;RUE;DE CLIGNANCOURT;2;35.22;36;Appartement;3210
75118BS72226;13;RUE;CHRISTIANI;2;81.28;80;Appartement;3210
75118AE32113;100;RUE;LEIBNIZ;2;43.2;43;Appartement;3210
75118AW4730;138;RUE;MARCADET;2;46.05;46;Appartement;3210
75118BH13812;62;RUE;DU RUISSEAU;2;33.64;32;Appartement;3210
75118CG9013;8;RUE;CAVE;2;37.18;39;Appartement;3210
75118BH126;9;RUE;LETORT;2;37.13;36;Appartement;3210
75118BM189;1;RUE;DE L ABBE PATUREAU;2;56.15;54;Appartement;3210
75118AL17424;14;RUE;ETEX;2;54.86;52;Appartement;3210
75118AG5020;168;RUE;ORDENER;2;41.1;44;Appartement;3210
75118AX1684;1;RUE;CALMELS;2;43.34;45;Appartement;3210
75118BE5513;113;RUE;DUHESME;2;47.16;45;Appartement;3210
75118AV129109;69;RUE;LAMARCK;2;39.6;48;Appartement;3210
75118AK8727;7;RUE;EUGENE CARRIERE;2;37.21;35;Appartement;3210
75118DA3052;15;RUE;MARC SEGUIN;2;40.75;40;Appartement;3210
75118BS2021;14;RUE;ANDRE DEL SARTE;2;24.85;25;Appartement;3210
75118BH3540;12;RUE;DU POTEAU;2;48.54;45;Appartement;3210
75118CK1516;12;RUE;DOUDEAUVILLE;2;38.19;40;Appartement;3210
75118CG92118;20;RUE;AFFRE;2;30.18;29;Appartement;3210
75118BT97220;74;RUE;MYRHA;2;27.62;35;Appartement;3210
75118AX742;14;RUE;VINCENT COMPOINT;2;41.23;41;Appartement;3210
75118AV539;145;RUE;MARCADET;2;21.61;19;Appartement;3210
75118CG7108;11;RUE;DE PANAMA;2;31;31;Appartement;3210
75118BS1213;15;RUE;MULLER;2;35.8;37;Appartement;3210
75118BO2410;33;RUE;GABRIELLE;2;31.91;33;Appartement;3210
75118BF2420;48;RUE;CHAMPIONNET;2;32.37;27;Appartement;3210
75118AX1452;83;RUE;DU RUISSEAU;2;49.77;50;Appartement;3210
75118CZ9812;54;RUE;DE LA CHAPELLE;2;13.9;20;Appartement;3210
75118CG1664;11;RUE;SAINT LUC;2;56.85;55;Appartement;3210
75118BH3619;10;RUE;DU POTEAU;2;45.65;44;Appartement;3210
75118BK4324;53;RUE;DU MONT CENIS;2;38.02;40;Appartement;3210
75118AY661031;89;RUE;BELLIARD;2;64.62;64;Appartement;3210
75118BJ2812;9;RUE;EUGENE SUE;2;32.85;32;Appartement;3210
75118DA9223;88;RUE;RIQUET;2;46.02;45;Appartement;3210
75118AR19231;11;RUE;COUSTOU;1;12.67;15;Appartement;3210
75118AK228;53;RUE;DAMREMONT;1;18.15;15;Appartement;3210
75118CG2241;15;RUE;DE SUEZ;1;13.85;12;Appartement;3210
75118BF12110;58;RUE;CHAMPIONNET;1;17.91;18;Appartement;3210
75118BT7227;33;RUE;POULET;1;16.3;14;Appartement;3210
75118AV31360;165;RUE;MARCADET;1;24.38;24;Appartement;3210
75118BK10189;127;RUE;MARCADET;1;13.24;13;Appartement;3210
75118BE803;26;RUE;LETORT;1;14.28;14;Appartement;3210
75118AU406;21;RUE;DES SAULES;1;12.59;15;Appartement;3210
75118CF12252;24;RUE;LEON;1;10.81;10;Appartement;3210
75118BO2171;51;RUE;DES TROIS FRERES;1;17.47;22;Appartement;3210
75118AR16847;6;RUE;COUSTOU;1;9.74;12;Appartement;3210
75118AH123208;7;RUE;GEORGETTE AGUTTE;1;35.5;32;Appartement;3210
75118BX51214;116;RUE;DU MONT CENIS;1;15.15;14;Appartement;3210
75118BE59250;101;RUE;DUHESME;1;16.04;15;Appartement;3210
75118AV533;145;RUE;MARCADET;1;18.03;11;Appartement;3210
75118BG10539;11;RUE;JOSEPH DIJON;1;15.08;15;Appartement;3210
75118BH2326;85;RUE;DUHESME;1;14.47;15;Appartement;3210
75118AH590;238;RUE;CHAMPIONNET;1;17.48;16;Appartement;3210
75118BN492;1;RUE;ST ELEUTHERE;1;116.33;17;Appartement;3210
75118BX6104;128;RUE;DU MONT CENIS;1;48.39;17;Appartement;3210
75118BT94120;19;RUE;DES POISSONNIERS;1;14.99;16;Appartement;3210
75118AS18021;5;RUE;AUDRAN;1;34.66;35;Appartement;3210
75118AI1451;10;RUE;SQUARE CARPEAUX;1;30.13;30;Appartement;3210
75118AS3115;18;RUE;CAULAINCOURT;1;12.58;14;Appartement;3210
75118BO1712;37;RUE;DES TROIS FRERES;1;37;35;Appartement;3210
75118DD23112;64;RUE;MARX DORMOY;1;24.02;23;Appartement;3210
75118AI862;13;RUE;SQUARE CARPEAUX;1;33.67;32;Appartement;3210
75118BG3322;8;RUE;BAUDELIQUE;1;10.84;9;Appartement;3210
75118BS42;4;RUE;PAUL ALBERT;1;22.35;22;Appartement;3210
75118CF231329;55;RUE;STEPHENSON;1;28.4;34;Appartement;3210
75118DD5411;82;RUE;PHILIPPE DE GIRARD;1;11.92;12;Appartement;3210
75118AS1383;4;RUE;BURQ;1;34.19;20;Appartement;3210
75118BU1110;42;RUE;RAMEY;1;31.87;33;Appartement;3210
75118BO11254;15;RUE;DES TROIS FRERES;1;13.66;9;Appartement;3210
75118AF151238;133;RUE;DAMREMONT;1;31.9;32;Appartement;3210
75118AI63211;9;RUE;VAUVENARGUES;1;9.19;10;Appartement;3210
75118AF15310;123;RUE;DAMREMONT;1;20.68;20;Appartement;3210
75118AW123142;96;RUE;DAMREMONT;1;9.52;10;Appartement;3210
75118AI34338;20;RUE;VAUVENARGUES;1;28.07;24;Appartement;3210
75118AR846;3;RUE;VERON;1;16.76;20;Appartement;3210
75118BI3845;62;RUE;DU MONT CENIS;1;13.38;15;Appartement;3210
75118BJ8937;84;RUE;MARCADET;1;10.07;10;Appartement;3210
75118BO7044;9;RUE;CHAPPE;1;11.27;11;Appartement;3210
75118CJ4273;43;RUE;MARX DORMOY;1;29.19;28;Appartement;3210
75118DA344;1;RUE;MARC SEGUIN;1;27.25;26;Appartement;3210
75118AT826;21;RUE;DAMREMONT;1;26.85;10;Appartement;3210
75118CJ46116;47;RUE;MARX DORMOY;1;46.54;48;Appartement;3210
75118BK17421;38;RUE;DES SAULES;1;16.18;16;Appartement;3210
75118AI77;86;RUE;JOSEPH DE MAISTRE;1;15.19;14;Appartement;3210
75118DD1438;50;RUE;MARX DORMOY;1;18.31;18;Appartement;3210
75118AG191239;136;RUE;CHAMPIONNET;1;32.12;32;Appartement;3210
75118CI3822;13;RUE;MARX DORMOY;1;23.02;23;Appartement;3210
75118BO21716;51;RUE;DES TROIS FRERES;1;11.19;15;Appartement;3210
75118CF11163;33;RUE;DOUDEAUVILLE;1;23.08;21;Appartement;3210
75118AN916;6;RUE;CAMILLE TAHAN;1;12.38;14;Appartement;3210
75118AW2727;15;RUE;DES CLOYS;1;16.22;16;Appartement;3210
75118AL23512;11;RUE;CAPITAINE MADON;1;25.1;27;Appartement;3210
75118BJ93260;4;RUE;EUGENE SUE;1;6.75;8;Appartement;3210
75118BW3740;5;RUE;DU SIMPLON;1;17.3;18;Appartement;3210
75118AG191877;136;RUE;CHAMPIONNET;1;28.37;29;Appartement;3210
75118BO19212;48;RUE;DES TROIS FRERES;1;12.62;12;Appartement;3210
75118AS5215;52;RUE;DES ABBESSES;1;18.27;20;Appartement;3210
75118DA105127;33;RUE;DE TORCY;1;14.03;9;Appartement;3210
75118CJ9352;38;RUE;STEPHENSON;1;21.83;22;Appartement;3210
75118AE1533;65;RUE;VAUVENARGUES;1;37.08;37;Appartement;3210
75118AJ5622;3;RUE;D OSLO;1;9.91;12;Appartement;3210
75118BH12911;44;RUE;DU RUISSEAU;1;12.17;12;Appartement;3210
75118AK6915;24;RUE;EUGENE CARRIERE;1;13.21;17;Appartement;3210
75118AV11821;93;RUE;CAULAINCOURT;1;18.66;19;Appartement;3210
75118BD107311;71;RUE;BELLIARD;1;25.92;26;Appartement;3210
75118BU14275;37;RUE;LABAT;1;12.59;9;Appartement;3210
75118DA7622;4;RUE;DE LA MARTINIQUE;1;22.75;27;Appartement;3210
75118AI1820;59;RUE;EUGENE CARRIERE;1;29.96;29;Appartement;3210
75118BW3729;5;RUE;DU SIMPLON;1;22.02;24;Appartement;3210
75118BH2136;30;RUE;DU POTEAU;1;29.39;30;Appartement;3210
75118BK10128;9;RUE;DU BAIGNEUR;1;13.53;15;Appartement;3210
75118AS6919;20;RUE;THOLOZE;1;25.01;24;Appartement;3210
75118BO5219;20;RUE;CHAPPE;1;29.22;30;Appartement;3210
75118AW721;16;RUE;ACHILLE MARTINET;1;11.45;12;Appartement;3210
75118DD3470;96;RUE;PHILIPPE DE GIRARD;1;18.65;13;Appartement;3210
75118BS105144;7;RUE;DES POISSONNIERS;1;10.6;12;Appartement;3210
75118AY7860;116;RUE;CHAMPIONNET;1;9.56;9;Appartement;3210
75118BL221;1;RUE;BACHELET;1;54.28;42;Appartement;3210
75118BE207;94;RUE;DU RUISSEAU;1;19.66;20;Appartement;3210
75118CK4215;8;RUE;JEAN ROBERT;1;19.39;15;Appartement;3210
75118AL1444;139;RUE;LAMARCK;1;12.46;12;Appartement;3210
75118AV6013;51;RUE;DES SAULES;1;22.2;22;Appartement;3210
75118DF5215;19;RUE;JACQUES KABLE;1;18.98;9;Appartement;3210
75118AH123218;7;RUE;GEORGETTE AGUTTE;1;35.65;36;Appartement;3210
75118BJ8232;16;RUE;EUGENE SUE;1;8.43;10;Appartement;3210
75118AS3747;39;RUE;DURANTIN;1;19.14;23;Appartement;3210
75118AI167;4;RUE;SQUARE CARPEAUX;1;23.98;18;Appartement;3210
75118CJ9452;38;RUE;STEPHENSON;1;17.13;16;Appartement;3210
75118AW1173;11;RUE;MONTCALM;1;22.34;23;Appartement;3210
75118AH2413;4;RUE;JACQUES CARTIER;1;24.55;24;Appartement;3210
75118BE8611;95;RUE;DUHESME;1;26.12;27;Appartement;3210
75118CF11921;30;RUE;DE LAGHOUAT;1;23.22;12;Appartement;3210
75118BT64119;75;RUE;DOUDEAUVILLE;1;13.15;11;Appartement;3210
75118BW12219;5;RUE;HERMANN LACHAPELLE;1;22.95;22;Appartement;3210
75118DD5390;86;RUE;PHILIPPE DE GIRARD;1;113.66;157;Appartement;3210
75118BE59223;101;RUE;DUHESME;1;13.48;13;Appartement;3210
75118BK9123;61;RUE;RAMEY;1;12.21;12;Appartement;3210
75118AI940;230;RUE;MARCADET;1;28.91;29;Appartement;3210
75118CG1418;1;RUE;DE PANAMA;1;9.19;10;Appartement;3210
75118BD963;15;RUE;ESCLANGON;1;32.08;32;Appartement;3210
75118AY66965;89;RUE;BELLIARD;1;38.91;40;Appartement;3210
75118BO6911;12;RUE;DES TROIS FRERES;1;15.14;16;Appartement;3210
75118BS4035;41;RUE;DE CLIGNANCOURT;1;23.16;30;Appartement;3210
75118BV34119;10;RUE;DES PORTES BLANCHES;1;15.97;14;Appartement;3210
75118BJ8835;82;RUE;MARCADET;1;21.45;21;Appartement;3210
75118BE8014;26;RUE;LETORT;1;15.08;14;Appartement;3210
75118AS20334;98;RUE;LEPIC;1;39.28;40;Appartement;3210
75118BL36141;7;RUE;NICOLET;1;26.04;23;Appartement;3210
75118CG8034;2;RUE;MYRHA;1;14.42;10;Appartement;3210
75118CG21648;16;RUE;DES POISSONNIERS;1;21.76;18;Appartement;3210
75118BI7824;118;RUE;MARCADET;1;24.95;22;Appartement;3210
75118CK508;6;RUE;DOUDEAUVILLE;1;16.45;16;Appartement;3210
75118AV68104;12;RUE;FONTAINE DU BUT;1;12.85;13;Appartement;3210
75118AY661036;2;RUE;GUSTAVE ROUANET;1;15.42;13;Appartement;3210
75118BJ7757;74;RUE;MARCADET;1;20.01;19;Appartement;3210
75118CZ1044;3;RUE;JEAN COTTIN;1;40.37;41;Appartement;3210
75118AI1615;4;RUE;SQUARE CARPEAUX;1;24.01;30;Appartement;3210
75118CI384;13;RUE;MARX DORMOY;1;22.76;22;Appartement;3210
75118BO12323;20;RUE;YVONNE LE TAC;1;14.32;13;Appartement;3210
75118BI6838;1;RUE;DE TRETAIGNE;1;17.91;23;Appartement;3210
75118AG191834;136;RUE;CHAMPIONNET;1;28.28;29;Appartement;3210
75118AS3010;38;RUE;LEPIC;1;14;15;Appartement;3210
75118BT97219;74;RUE;MYRHA;1;27.47;29;Appartement;3210
75118BD8816;23;RUE;ESCLANGON;1;18.08;21;Appartement;3210
75118AL23118;15;RUE;CAPITAINE MADON;1;10.26;11;Appartement;3210
75118BV1165;11;RUE;BOINOD;1;17.8;19;Appartement;3210
75118BU1015;1;RUE;LABAT;1;25.73;26;Appartement;3210
75118BJ4120;18;RUE;FERDINAND FLOCON;3;52.27;48;Appartement;3210
75118AK10426;111;RUE;LAMARCK;3;42.7;38;Appartement;3210
75118BU35121;38;RUE;RAMEY;3;46.97;45;Appartement;3210
75118AV112107;105;RUE;CAULAINCOURT;3;60.75;63;Appartement;3210
75118BW8115;23;RUE;CHAMPIONNET;3;65.05;50;Appartement;3210
75118CG1747;5;RUE;DE SUEZ;3;47.07;49;Appartement;3210
75118AV13820;75;RUE;LAMARCK;3;63.35;61;Appartement;3210
75118BK6721;19;RUE;HERMEL;3;36.58;37;Appartement;3210
75118BI81182;122;RUE;MARCADET;3;78.45;80;Appartement;3210
75118BJ3418;35;RUE;SIMART;3;44.93;45;Appartement;3210
75118DD4368;55;RUE;PAJOL;3;41.77;42;Appartement;3210
75118CG285;68;RUE;MYRHA;3;70.06;65;Appartement;3210
75118AI18265;25;RUE;VAUVENARGUES;3;73;74;Appartement;3210
75118BI206;14;RUE;DE TRETAIGNE;3;88.18;89;Appartement;3210
75118BS2035;14;RUE;ANDRE DEL SARTE;3;75.09;80;Appartement;3210
75118AX95;112;RUE;DAMREMONT;3;52.84;53;Appartement;3210
75118DF5012;15;RUE;JACQUES KABLE;3;44.51;53;Appartement;3210
75118AW972;155;RUE;ORDENER;3;24.12;51;Appartement;3210
75118AS1247;8;RUE;DURANTIN;3;47.65;52;Appartement;3210
75118BJ8147;18;RUE;EUGENE SUE;3;42.6;42;Appartement;3210
75118BS914;8;RUE;CHARLES NODIER;3;55.72;55;Appartement;3210
75118AT3485;16;RUE;DAMREMONT;3;73.62;84;Appartement;3210
75118BV7810;59;RUE;ORDENER;3;44.88;42;Appartement;3210
75118BH187;13;RUE;VERSIGNY;3;53.36;54;Appartement;3210
75118AK8828;48;RUE;JOSEPH DE MAISTRE;3;57.85;59;Appartement;3210
75118CE1015;29;RUE;ORDENER;3;51.5;42;Appartement;3210
75118BT207;44;RUE;DE CLIGNANCOURT;3;45.62;44;Appartement;3210
75118AV4512;19;RUE;DUHESME;3;52.61;52;Appartement;3210
75118BL374;5;RUE;NICOLET;3;56;60;Appartement;3210
75118AE923;77;RUE;VAUVENARGUES;3;69.2;69;Appartement;3210
75118AL1456;139;RUE;LAMARCK;3;34.42;33;Appartement;3210
75118AL241103;5;RUE;CAPITAINE MADON;3;30.02;30;Appartement;3210
75118BU427;54;RUE;LABAT;3;47.73;50;Appartement;3210
75118BI9841;7;RUE;DES CLOYS;3;62.45;63;Appartement;3210
75118CG7520;39;RUE;STEPHENSON;3;79.56;79;Appartement;3210
75118CH18821;63;RUE;DE LA GOUTTE D OR;3;45.27;47;Appartement;3210
75118BG27305;52;RUE;ORDENER;3;41.54;35;Appartement;3210
75118AK4237;48;RUE;DAMREMONT;3;38.26;36;Appartement;3210
75118CH15121;42;RUE;DE LA CHARBONNIERE;3;78.18;79;Appartement;3210
75118AJ437;14;RUE;D OSLO;3;50.94;50;Appartement;3210
75118CF1703;70;RUE;DOUDEAUVILLE;3;71.18;70;Appartement;3210
75118CF1824;28;RUE;D ORAN;3;29.11;65;Appartement;3210
75118AS1706;30;RUE;VERON;3;37.33;37;Appartement;3210
75118AE921;77;RUE;VAUVENARGUES;3;66.81;70;Appartement;3210
75118BJ7618;72;RUE;MARCADET;3;43.04;43;Appartement;3210
75118BJ3614;12;RUE;FERDINAND FLOCON;3;56.89;54;Appartement;3210
75118BO8245;24;RUE;DES TROIS FRERES;3;47.6;49;Appartement;3210
75118DA19239;28;RUE;DE TORCY;3;83.59;84;Appartement;3210
75118AT1224;84;RUE;LEPIC;3;36.7;35;Appartement;3210
75118BE5519;113;RUE;DUHESME;3;42.13;42;Appartement;3210
75118AX18224;130;RUE;ORDENER;3;59.26;62;Appartement;3210
75118CG1668;11;RUE;SAINT LUC;3;57.45;58;Appartement;3210
75118DB610;8;RUE;BUZELIN;3;62.55;62;Appartement;3210
75118AW210;171;RUE;ORDENER;3;60.67;60;Appartement;3210
75118BJ8150;18;RUE;EUGENE SUE;3;43.17;40;Appartement;3210
75118BI284;14;RUE;LAPEYRERE;3;64.48;64;Appartement;3210
75118BH9125;9;RUE;DU POTEAU;3;53.27;50;Appartement;3210
75118AX13718;109;RUE;CHAMPIONNET;3;66.1;68;Appartement;3210
75118BK5621;10;RUE;DU BAIGNEUR;3;60.15;61;Appartement;3210
75118BU1312037;82;RUE;DOUDEAUVILLE;3;71.22;70;Appartement;3210
75118AO51263;10;RUE;GANNERON;3;67.8;67;Appartement;3210
75118AR396;5;RUE;HOUDON;3;72.15;76;Appartement;3210
75118BI320;14;RUE;DES CLOYS;3;54.23;47;Appartement;3210
